index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label,dominant_codes,secondary_codes,community_desc
summary,NA,NA,NA,NA,NA,-2.170152407632508,-2.157287245421599,0.061503998616793336,-2.2650497329892016,-2.046841939359318,0.11416021690904778,0.11585031029134771,0.007144569559078343,0.10382521926883506,0.12914213793103785,0.4159160126067556,0.41576841848352986,0.00506356603159689,0.4066237919020344,0.4245306835589816,0.41591601260675554,0.4157684184835298,0.005063566031596892,0.4066237919020344,0.4245306835589816,SSP1-2.6 2071-2100,2071-2100,RP1,White or Red Pine Forest,,,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3524602548047375,-1.3519049637244438,0.053449831743072815,-1.4460309721740785,-1.2598884262331849,0.2586033188174216,0.2591042570520527,0.013845587399646383,0.23552155362825394,0.2836925262875353,0.5441539237596524,0.5453260243763323,0.005485234786363308,0.5370891207904689,0.5563143872503796,0.5441539237596524,0.5453260243763323,0.005485234786363308,0.5370891207904689,0.5563143872503796,SSP1-2.6 2071-2100,2071-2100,RS2,Balsam Fir - Black Spruce Forest,,,Balsam Fir - Black Spruce Forest
summary,NA,NA,NA,NA,NA,-2.4816976828871016,-2.4884505496933262,0.056843806227307336,-2.6084167370142737,-2.3966430595898887,0.0836012826257887,0.08316744766129858,0.004683209474618089,0.07365500660018634,0.09102311984062902,0.45823610560155364,0.45797805607744,0.0032657341719692927,0.4520441804342755,0.46378508385896483,0.45823610560155364,0.45797805607744,0.0032657341719692927,0.4520441804342755,0.46378508385896483,SSP2-4.5 2011-2040,2011-2040,FE3,Sugar Maple - Yellow Birch Forest,,,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-3.2318991388215284,-3.230399246518219,0.05727997623515835,-3.3386795036319956,-3.1182987739748445,0.03948247166735111,0.0396042821477538,0.002260312471617897,0.03548590504662359,0.04423263514377077,0.3222714329988749,0.32229988065302934,0.0026192654569734387,0.3181385625513721,0.32675491741228796,0.3222714329988749,0.32229988065302934,0.0026192654569734404,0.3181385625513721,0.326754917412288,SSP2-4.5 2011-2040,2011-2040,FE6,Sugar Maple - Red Oak Forest,,,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.3879901713707812,-1.3948561350726039,0.041494538696697794,-1.472867851695976,-1.3307525505723694,0.24957651864794714,0.24807373686909243,0.010198338919557683,0.2292759632779636,0.2642921664574641,0.4917490477416905,0.4924438876348139,0.0037973651522903353,0.48623473698934905,0.499540797999777,0.4917490477416905,0.4924438876348139,0.0037973651522903353,0.48623473698934905,0.499540797999777,SSP2-4.5 2011-2040,2011-2040,ME1,Black Spruce - Trembling Aspen Forest,,,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-1.4696023421953024,-1.4663124278409891,0.02800072530035866,-1.5115239364349298,-1.4087262759153827,0.23001713266701565,0.23086268656078546,0.00649839125315951,0.22057358981054975,0.24445494022671016,0.5319498143324364,0.5317768621425484,0.002843235208708533,0.5268047474116332,0.5370158564111721,0.5319498143324364,0.5317768621425484,0.002843235208708533,0.5268047474116332,0.5370158564111721,SSP2-4.5 2011-2040,2011-2040,MS6,Balsam Fir - Red Maple Forest,,,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-2.6331431165876893,-2.6401271358342484,0.054156499055352324,-2.766601129237068,-2.566813551377131,0.07185246830949094,0.07145202497526183,0.0037920910726186577,0.06287668725862547,0.07678010057091392,0.42371987718238635,0.4243139958230999,0.0038939712270410977,0.41900460997703803,0.4326105793665989,0.42371987718238635,0.4243139958230999,0.0038939712270410977,0.41900460997703803,0.4326105793665989,SSP2-4.5 2011-2040,2011-2040,MS1,Balsam Fir - Yellow Birch Forest,,,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.3202867194058658,-1.322085022804083,0.04865198673989367,-1.4135848656764955,-1.2283261124717049,0.2670587978047011,0.2668845792877223,0.01302479338626928,0.2432699052005877,0.29279872389047235,0.5372533482095074,0.5381107680654904,0.0031886719422983597,0.5334696300340962,0.5437156169751741,0.5372533482095074,0.5381107680654904,0.0031886719422983597,0.5334696300340962,0.5437156169751741,SSP2-4.5 2011-2040,2011-2040,MS2,Balsam Fir - Paper Birch Forest,,,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.236555099959107,-2.234973781106845,0.056470850316372424,-2.324410850861308,-2.1283149685848812,0.10682614384030703,0.1071613734795663,0.006132131562171561,0.09784195895661654,0.11906312025835103,0.45048002177842106,0.45090546160143374,0.0028830390621106053,0.4468963790143317,0.4567974890179257,0.45048002177842106,0.45090546160143374,0.0028830390621106053,0.4468963790143317,0.4567974890179257,SSP2-4.5 2011-2040,2011-2040,RE2,Black Spruce - Moss or Heath Forest,,,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.6109545789829625,-2.6155621907479243,0.08152838978191376,-2.734468091903134,-2.462005025162396,0.07346462945934626,0.07336547608920527,0.0061267949710526425,0.06493531788949573,0.08536711756765505,0.354920654320019,0.35450348955626954,0.002964753356167425,0.35022611852367536,0.3593744934258894,0.354920654320019,0.35450348955626954,0.002964753356167425,0.35022611852367536,0.3593744934258894,SSP2-4.5 2011-2040,2011-2040,RC3,Peaty Eastern White Cedar - Balsam Fir Forest,,,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-2.655022517952901,-2.644270926462236,0.06304163611307396,-2.78649648437156,-2.5309571249299987,0.07029726685498844,0.07119283948789792,0.004449683453897505,0.061645781229387533,0.07959821593527533,0.3579860622462125,0.35814924810985166,0.0031622497763341946,0.3529405167466873,0.3645999468113797,0.35798606224621243,0.35814924810985166,0.0031622497763342007,0.3529405167466873,0.3645999468113797,SSP2-4.5 2011-2040,2011-2040,RP1,White or Red Pine Forest,,,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3202867194058658,-1.322085022804083,0.04865198673989367,-1.4135848656764955,-1.2283261124717049,0.2670587978047011,0.2668845792877223,0.01302479338626928,0.2432699052005877,0.29279872389047235,0.5372533482095074,0.5381107680654904,0.0031886719422983597,0.5334696300340962,0.5437156169751741,0.5372533482095074,0.5381107680654904,0.0031886719422983597,0.5334696300340962,0.5437156169751741,SSP2-4.5 2011-2040,2011-2040,RS2,Balsam Fir - Black Spruce Forest,,,Balsam Fir - Black Spruce Forest
summary,NA,NA,NA,NA,NA,-1.8475390640639269,-1.8410778331980802,0.04678881719603042,-1.9262460836091937,-1.7575209728541736,0.15762604583062767,0.1588143428403125,0.007436327618143171,0.14569631847817452,0.17247231268567637,0.5447329656210202,0.5445119680634161,0.0060379520899043965,0.531469909032404,0.5541603300304164,0.5447329656210202,0.5445119680634161,0.0060379520899043965,0.531469909032404,0.5541603300304164,SSP2-4.5 2041-2070,2041-2070,FE3,Sugar Maple - Yellow Birch Forest,,,Sugar Maple - Yellow Birch Forest
